id	name.zh-CN	name.en
9203	安徽财经大学	Anhui University of Finance and Economics
3118	安徽大学	Anhui University
8747	安徽工程大学	Anhui Polytechnic University
5529	安徽工业大学	Anhui University of Technology
11400	安徽建筑大学	Anhui Jianzhu University
3119	安徽理工大学	Anhui University of Science and Technology
24809	安徽农业大学	Anhui Agricultural University
15203	安徽三联学院	Anhui Sanlian University
3365	安徽师范大学	Anhui Normal University
4010	安徽新华学院	Anhui Xinhua University
3383	安庆师范大学	Anqing Normal University
3741	安阳工学院	Anyang Institute of Technology
3694	安阳师范学院	Anyang Normal University
2406	澳门大学	University of Macau
8743	蚌埠学院	Bengbu University
26737	北部湾大学	Beibu Gulf University
3187	北方工业大学	North China University of Technology
10424	北方民族大学	North Minzu University
2822	北华大学	Beihua University
8249	北华航天工业学院	North China Institute of Aerospace Engineering
26322	北京城市学院	Beijing City University
1438	北京大学	Peking University
4207	北京电子科技学院	Beijing Electronic Science and Technology Institute
4031	北京工商大学	Beijing Technology and Business University
138	北京工业大学	Beijing University of Technology
7395	北京工业大学耿丹学院	Gengdan Institute of Beijing University of Technology
3120	北京航空航天大学	Beihang University
3122	北京化工大学	Beijing University of Chemical Technology
11814	北京建筑大学	Beijing University of Civil Engineering and Architecture
2978	北京交通大学	Beijing Jiaotong University
8651	北京交通大学（威海）	Beijing Jiaotong University, Weihai
3205	北京科技大学	University of Science and Technology Beijing
25774	北京科技大学天津学院	Tianjin College, University of Science and Technology Beijing
133	北京理工大学	Beijing Institute of Technology
11468	北京理工大学珠海学院	Beijing Institute of Technology, Zhuhai
4244	北京联合大学	Beijing Union University
2980	北京林业大学	Beijing Forestry University
7725	北京农学院	Beijing University of Agriculture
134	北京师范大学	Beijing Normal University
11331	北京师范大学珠海校区	Beijing Normal University at Zhuhai
26477	北京外国语大学	Beijing Foreign Studies University
4746	北京信息科技大学	Beijing Information Science and Technology University
3121	北京印刷学院	Beijing Institute of Graphic Communication
137	北京邮电大学	Beijing University of Posts and Telecommunications
26324	北师香港浸会大学	Beijing Normal-Hong Kong Baptist University
4595	渤海大学	Bohai University
7284	常州大学	Changzhou University
3127	常州工学院	Changzhou Institute of Technology
3128	成都大学	Chengdu University
2964	成都东软学院	Chengdu Neusoft Institute of Information
6760	成都工业学院	Chengdu Technological University
16357	成都锦城学院	Chengdu Jincheng College
6749	成都理工大学	Chengdu University of Technology
6225	成都理工大学工程技术学院	The Engineering and Technical College of Chengdu University of Technology
8692	成都师范学院	Chengdu Normal University
3349	成都信息工程大学	Chengdu University of Information Technology
