id	name.zh-CN	name.en	filename
G11	阿坝师范学院		阿坝师范学院
9203	安徽财经大学	Anhui University of Finance and Economics	安徽财经大学
3118	安徽大学	Anhui University	安徽大学
G12	安徽电气工程职业技术学院		安徽电气工程职业技术学院
8747	安徽工程大学	Anhui Polytechnic University	安徽工程大学
5529	安徽工业大学	Anhui University of Technology	安徽工业大学
11400	安徽建筑大学	Anhui Jianzhu University	安徽建筑大学
G13	安徽交通职业技术学院		安徽交通职业技术学院
G14	安徽科技工程大学		安徽科技工程大学
3119	安徽理工大学	Anhui University of Science and Technology	安徽理工大学
24809	安徽农业大学	Anhui Agricultural University	安徽农业大学
15203	安徽三联学院	Anhui Sanlian University	安徽三联学院
3365	安徽师范大学	Anhui Normal University	安徽师范大学
4010	安徽新华学院	Anhui Xinhua University	安徽新华学院
G15	安徽信息工程学院		安徽信息工程学院
G16	安徽医科大学		安徽医科大学
G17	安徽艺术学院		安徽艺术学院
G18	安徽职业技术大学		安徽职业技术大学
G19	安徽中医药大学		安徽中医药大学
G20	安康学院		安康学院
3383	安庆师范大学	Anqing Normal University	安庆师范大学
G21	安庆职业技术学院		安庆职业技术学院
3741	安阳工学院	Anyang Institute of Technology	安阳工学院
3694	安阳师范学院	Anyang Normal University	安阳师范学院
G22	鞍山师范学院		鞍山师范学院
2406	澳门大学	University of Macau	澳门大学
G23	白城师范学院		白城师范学院
8743	蚌埠学院	Bengbu University	蚌埠学院
G24	蚌埠医科大学		蚌埠医科大学
G25	宝鸡文理学院		宝鸡文理学院
G26	保定学院		保定学院
G27	保定职业技术学院		保定职业技术学院
26737	北部湾大学	Beibu Gulf University	北部湾大学
3187	北方工业大学	North China University of Technology	北方工业大学
10424	北方民族大学	North Minzu University	北方民族大学
G28	北海艺术设计学院		北海艺术设计学院
2822	北华大学	Beihua University	北华大学
8249	北华航天工业学院	North China Institute of Aerospace Engineering	北华航天工业学院
26322	北京城市学院	Beijing City University	北京城市学院
1438	北京大学	Peking University	北京大学
G29	北京第二外国语学院		北京第二外国语学院
G30	北京电影学院		北京电影学院
4207	北京电子科技学院	Beijing Electronic Science and Technology Institute	北京电子科技学院
G31	北京服装学院		北京服装学院
4031	北京工商大学	Beijing Technology and Business University	北京工商大学
138	北京工业大学	Beijing University of Technology	北京工业大学
7395	北京工业大学耿丹学院	Gengdan Institute of Beijing University of Technology	北京工业大学耿丹学院
G32	北京工业职业技术学院		北京工业职业技术学院
3120	北京航空航天大学	Beihang University	北京航空航天大学
G33	北京航空航天大学北海学院		北京航空航天大学北海学院
3122	北京化工大学	Beijing University of Chemical Technology	北京化工大学
11814	北京建筑大学	Beijing University of Civil Engineering and Architecture	北京建筑大学
2978	北京交通大学	Beijing Jiaotong University	北京交通大学
8651	北京交通大学（威海）	Beijing Jiaotong University, Weihai	北京交通大学威海
G34	北京交通职业技术学院		北京交通职业技术学院
G35	北京金融科技学院		北京金融科技学院
G36	北京京北职业技术学院		北京京北职业技术学院
G37	北京警察学院		北京警察学院
3205	北京科技大学	University of Science and Technology Beijing	北京科技大学
25774	北京科技大学天津学院	Tianjin College, University of Science and Technology Beijing	北京科技大学天津学院
G38	北京科技职业学院		北京科技职业学院
133	北京理工大学	Beijing Institute of Technology	北京理工大学
11468	北京理工大学珠海学院	Beijing Institute of Technology, Zhuhai	北京理工大学珠海学院
4244	北京联合大学	Beijing Union University	北京联合大学
2980	北京林业大学	Beijing Forestry University	北京林业大学
7725	北京农学院	Beijing University of Agriculture	北京农学院
G39	北京青年政治学院		北京青年政治学院
134	北京师范大学	Beijing Normal University	北京师范大学
11331	北京师范大学珠海校区	Beijing Normal University at Zhuhai	北京师范大学珠海校区
G40	北京石油化工学院		北京石油化工学院
G41	北京体育大学		北京体育大学
26477	北京外国语大学	Beijing Foreign Studies University	北京外国语大学
G42	北京网络职业学院		北京网络职业学院
G43	北京舞蹈学院		北京舞蹈学院
G44	北京物资学院		北京物资学院
G45	北京协和医学院		北京协和医学院
4746	北京信息科技大学	Beijing Information Science and Technology University	北京信息科技大学
G46	北京信息职业技术学院		北京信息职业技术学院
3121	北京印刷学院	Beijing Institute of Graphic Communication	北京印刷学院
137	北京邮电大学	Beijing University of Posts and Telecommunications	北京邮电大学
G47	北京邮电大学世纪学院		北京邮电大学世纪学院
G48	北京语言大学		北京语言大学
G49	北京中医药大学		北京中医药大学
26324	北师香港浸会大学	Beijing Normal-Hong Kong Baptist University	北师香港浸会大学
G50	亳州学院		亳州学院
4595	渤海大学	Bohai University	渤海大学
G51	沧州师范学院		沧州师范学院
7284	常州大学	Changzhou University	常州大学
G52	常州纺织服装职业技术学院		常州纺织服装职业技术学院
3127	常州工学院	Changzhou Institute of Technology	常州工学院
G53	巢湖学院		巢湖学院
G54	朝阳师范学院		朝阳师范学院
3128	成都大学	Chengdu University	成都大学
2964	成都东软学院	Chengdu Neusoft Institute of Information	成都东软学院
6760	成都工业学院	Chengdu Technological University	成都工业学院
G55	成都工业职业技术学院		成都工业职业技术学院
G56	成都航空职业技术大学		成都航空职业技术大学
16357	成都锦城学院	Chengdu Jincheng College	成都锦城学院
6749	成都理工大学	Chengdu University of Technology	成都理工大学
6225	成都理工大学工程技术学院	The Engineering and Technical College of Chengdu University of Technology	成都理工大学工程技术学院
8692	成都师范学院	Chengdu Normal University	成都师范学院
G57	成都体育学院		成都体育学院
3349	成都信息工程大学	Chengdu University of Information Technology	成都信息工程大学
6222	成都医学院	Chengdu Medical College	成都医学院
G58	成都中医药大学		成都中医药大学
G59	承德医学院		承德医学院
10308	池州学院	Chizhou University	池州学院
G60	赤峰大学		赤峰大学
4009	赤峰学院	Chifeng University	赤峰学院
G61	重庆安全技术职业学院		重庆安全技术职业学院
G62	重庆城市管理职业大学		重庆城市管理职业大学
14471	重庆城市科技学院	Chongqing Metropolitan College of Science and Technology	重庆城市科技学院
286	重庆大学	Chongqing University	重庆大学
26313	重庆第二师范学院	Chongqing University of Education	重庆第二师范学院
26382	重庆对外经贸学院	Chongqing College of International Business and Economics	重庆对外经贸学院
14622	重庆工程学院	Chongqing Institute of Engineering	重庆工程学院
3133	重庆工商大学	Chongqing Technology and Business University	重庆工商大学
25804	重庆工商大学派斯学院	Pass College of Chongqing Technology and Business University	重庆工商大学派斯学院
G63	重庆建筑工程职业学院		重庆建筑工程职业学院
16028	重庆交通大学	Chongqing Jiaotong University	重庆交通大学
9253	重庆科技大学	Chongqing University of Science and Technology	重庆科技大学
22989	重庆理工大学	Chongqing University of Technology	重庆理工大学
G64	重庆鲁能巴蜀中学		重庆鲁能巴蜀中学
G65	重庆南开中学		重庆南开中学
G66	重庆人文科技学院		重庆人文科技学院
11342	重庆师范大学	Chongqing Normal University	重庆师范大学
G67	重庆市第八中学校		重庆市第八中学校
G68	重庆市育才中学校		重庆市育才中学校
7389	重庆文理学院	Chongqing University of Arts and Sciences	重庆文理学院
G69	重庆医科大学		重庆医科大学
22099	重庆移通学院	Chongqing College of Mobile Communication	重庆移通学院
3322	重庆邮电大学	Chongqing University of Posts and Telecommunications	重庆邮电大学
G70	重庆中医药学院		重庆中医药学院
10279	滁州学院	Chuzhou University	滁州学院
G71	楚雄师范学院		楚雄师范学院
G72	大理大学		大理大学
G73	大连财经学院		大连财经学院
356	大连大学	Dalian University	大连大学
25780	大连工程学院	Dalian University of Engineering	大连工程学院
2872	大连工业大学	Dalian Polytechnic University	大连工业大学
G74	大连工业大学艺术与信息工程学院		大连工业大学艺术与信息工程学院
2817	大连海事大学	Dalian Maritime University	大连海事大学
4604	大连海洋大学	Dalian Ocean University	大连海洋大学
2800	大连交通大学	Dalian Jiaotong University	大连交通大学
7246	大连科技学院	Dalian Institute of Science and Technology	大连科技学院
357	大连理工大学	Dalian University of Technology	大连理工大学
11497	大连理工大学盘锦校区	Panjin Campus of Dalian University of Technology	大连理工大学盘锦校区
2806	大连民族大学	Dalian Minzu University	大连民族大学
14187	大连外国语大学	Dalian University of Foreign Languages	大连外国语大学
G75	大连医科大学		大连医科大学
G76	大连艺术学院		大连艺术学院
2796	大庆师范学院	Daqing Normal University	大庆师范学院
1973	电子科技大学	University of Electronic Science and Technology of China	电子科技大学
6218	电子科技大学成都学院	Chengdu College of University of Electronic Science and Technology of China	电子科技大学成都学院
G77	电子科技大学中山学院		电子科技大学中山学院
G78	东北财经大学		东北财经大学
2825	东北大学	Northeastern University	东北大学
6254	东北大学秦皇岛分校	Northeastern University at Qinhuangdao	东北大学秦皇岛分校
9194	东北电力大学	Northeast Electric Power University	东北电力大学
2804	东北林业大学	Northeast Forestry University	东北林业大学
2795	东北农业大学	Northeast Agricultural University	东北农业大学
1351	东北师范大学	Northeast Normal University	东北师范大学
4620	东北石油大学	Northeast Petroleum University	东北石油大学
26312	东莞城市学院	Dongguan City University	东莞城市学院
2757	东莞理工学院	Dongguan University of Technology	东莞理工学院
G79	东莞职业技术学院		东莞职业技术学院
402	东华大学	Donghua University	东华大学
9082	东华理工大学	East China University of Technology	东华理工大学
G80	东南大学		东南大学
G81	对外经济贸易大学		对外经济贸易大学
G82	鄂尔多斯应用技术学院		鄂尔多斯应用技术学院
7724	防灾科技学院（已更名为应急管理大学）	Institute of Disaster Prevention	防灾科技学院已更名为应急管理大学
2782	佛山大学	Foshan University	佛山大学
